Nombre,PGA,Intensidad,lat,lon,distancia
CAUST,6.88910650363,3.65045429444,14.6213,-90.4852,229.316269196
CINGE,4.05361185208,3.27111603931,14.6121,-90.5311,231.18094517
CHULA,8.70172522077,3.81753003651,13.916,-90.8911,205.288638474
CSTER,5.19547490984,3.4486347898,14.6035,-90.5568,231.961136875
CBIBL,4.65652595045,3.37029815943,14.5923,-90.5497,230.53857156
XELA,5.16157559979,3.44395243605,14.8618,-91.5491,323.439886178
IZABA,4.16749912616,3.29093497722,15.721,-88.5977,323.784115026
IPRES,6.25715601158,3.58163289184,14.6436,-90.5127,232.927541197
RGIL,4.9223272355,3.4100047841,14.5841,-90.4879,226.117993816
JUTI,17.082124967,4.29999650056,14.2832,-89.8975,168.541637698
VILL,10.3733803355,3.94322073642,14.5041,-90.6131,226.861106259
CASUN,6.92965665857,3.65465219839,14.6012,-90.5076,228.811985205
SJPIN,8.25880392773,3.78016255536,14.5447,-90.4457,220.110491743
HUEH,2.56560145363,2.94393460085,15.3162,-91.4851,354.168144725
SALAM,2.34076957189,2.87833371852,15.101,-90.3179,266.952197579
CMONM,5.53590701205,3.49403193147,14.5834,-90.5632,230.57679677
ESCTL,27.0572541546,4.62897128863,14.3111,-90.7611,221.569170749
TADEO,4.23228968185,3.30196966011,14.5854,-90.5193,228.094459804
ACRIS,5.15456545864,3.44298032145,14.5993,-90.5959,233.991429517
ANTG,11.8253800657,4.03692648252,14.5575,-90.7297,239.077771925
ITC,4.18444849911,3.29383815998,14.6458,-90.5063,232.754908935
SMARC,9.58355938531,3.88657470274,14.958,-91.8023,350.701554274
COBAN,1.52617431319,2.57239601814,15.4716,-90.3767,306.791568588
AMGGT,4.69311673032,3.375896854,14.6314,-90.5388,233.365039279
JUNKA,5.00950172138,3.4225615912,14.6204,-90.5293,231.816278312
CHAMP,2.81306153389,3.0097981954,14.2946,-91.914,319.461111769
QUICH,4.0075797603,3.26294694156,15.0295,-91.1445,306.733752112
epicentro,0,4.663612965668349,12.9388,-89.3501,0