,lon,lat,folder,Zona,prof,Zona2,ml
322,-90.0499,13.2283,2019-09-29-1629,1,10.7106,Superficial,3.67
323,-90.3452,12.7567,2019-09-29-2058,1,12.0811,Superficial,5.09
324,-90.44,13.0005,2019-09-29-2307,1,48.1507,Intra 1,3.86
325,-90.1763,12.8012,2019-09-30-0003,1,40.5734,Intra 1,3.33
326,-90.6066,12.6873,2019-09-30-0101,1,16.0,Intra 1,4.31
327,-90.2428,12.719,2019-09-30-0754,1,35.7969,Intra 1,3.48
328,-90.3863,12.8926,2019-09-30-1130,1,7.962,Superficial,3.46
329,-89.417,13.0517,2019-10-01-0304,1,35.3423,Intra 1,4.11
330,-89.6912,13.1184,2019-10-01-0314,1,2.7952,Superficial,4.01
331,-90.1189,13.2536,2019-10-02-0204,1,7.4957,Superficial,3.4
332,-89.5271,13.0945,2019-10-04-1754,1,42.4961,Intra 1,4.36
333,-90.358,13.017,2019-10-05-0347,1,40.1599,Intra 1,4.07
334,-90.4697,13.1872,2019-10-05-0407,1,6.7298,Superficial,3.44
335,-90.1198,13.2868,2019-10-06-0541,1,10.2058,Superficial,3.38
336,-89.715,13.0695,2019-10-06-1519,1,23.0,Intra 1,2.8
337,-89.7213,13.1861,2019-10-06-1853,1,8.7295,Superficial,4.03
338,-90.1635,13.1131,2019-10-07-2048,1,1.5119,Superficial,3.23
339,-89.5258,12.986,2019-10-09-0056,1,37.0971,Intra 1,4.28
340,-90.1615,13.2298,2019-10-10-0927,1,8.7975,Superficial,3.37
341,-89.944,12.9125,2019-10-10-2203,1,15.0,Intra 1,4.5
342,-89.8962,12.6918,2019-10-13-0253,1,21.2731,Intra 1,4.7
343,-89.7754,13.1303,2019-10-13-1605,1,3.8959,Superficial,3.89
344,-89.6583,13.1319,2019-10-14-1013,1,9.1692,Superficial,3.55
345,-89.5304,13.0871,2019-10-15-1326,1,56.4003,Intra 1,3.58
346,-90.3792,13.0211,2019-10-20-0746,1,60.9953,Intra 1,3.41
347,-90.4163,13.2064,2019-10-21-0854,1,32.4435,Intra 1,4.68
348,-90.2021,12.6401,2019-10-22-0319,1,29.2597,Intra 1,3.82
349,-89.6337,13.0542,2019-10-24-2121,1,16.2491,Intra 1,4.17
350,-88.3712,12.5885,2019-10-25-1502,1,31.8261,Intra 1,4.53
351,-90.1561,12.9851,2019-10-25-1509,1,12.4572,Superficial,4.27
352,-89.8127,12.7783,2019-10-27-1417,1,23.4855,Intra 1,4.58
353,-89.7294,13.136,2019-10-28-1132,1,6.9351,Superficial,4.04
354,-90.2473,12.8592,2019-10-30-0838,1,36.5604,Intra 1,3.58
355,-90.4001,13.3168,2019-10-30-1417,1,13.2076,Superficial,3.75
356,-88.5074,12.4592,2019-11-04-0200,1,21.3407,Intra 1,4.27
357,-89.9715,13.264,2019-11-04-0824,1,46.6324,Intra 1,2.66
358,-89.0193,12.9642,2019-11-07-1316,1,40.0735,Intra 1,4.23
359,-88.732,12.7493,2019-11-08-1659,1,46.8824,Intra 1,4.51
360,-90.6163,12.8331,2019-11-08-1826,1,9.0,Superficial,4.38
361,-90.2866,13.3737,2019-11-09-0653,1,41.8263,Intra 1,2.65
362,-88.6658,12.8564,2019-11-12-2134,1,35.9747,Intra 1,5.41
363,-89.1663,13.0001,2019-11-13-1959,1,39.4761,Intra 1,4.53
364,-90.1071,13.119,2019-11-14-0341,1,38.9432,Intra 1,3.03
365,-90.2108,13.3549,2019-11-16-1622,1,15.7748,Intra 1,4.11
366,-90.1122,13.272,2019-11-17-0916,1,7.469,Superficial,3.38
367,-89.1132,12.9795,2019-11-22-0718,1,28.716,Intra 1,4.02
368,-90.3774,12.7017,2019-11-26-0850,1,34.9278,Intra 1,2.88
369,-90.3131,13.0788,2019-11-28-2110,1,14.152,Superficial,4.09
370,-90.167,13.3457,2019-12-03-1030,1,24.2871,Intra 1,2.92
371,-88.8541,12.6766,2019-12-03-1338,1,16.9326,Intra 1,5.08
372,-88.3106,12.7476,2019-12-05-0456,1,19.2663,Intra 1,4.49
373,-89.6056,13.1206,2019-12-06-0500,1,44.3734,Intra 1,4.41
374,-89.5797,12.899,2019-12-07-1152,1,23.8822,Intra 1,4.13
375,-90.3924,13.3394,2019-12-08-0929,1,42.1655,Intra 1,3.64
376,-90.3275,13.1441,2019-12-10-0924,1,15.9837,Intra 1,3.43
377,-90.3267,13.3698,2019-12-11-0120,1,35.7079,Intra 1,3.15
378,-90.3464,12.823,2019-12-13-1340,1,41.0112,Intra 1,4.15
379,-90.4918,12.8767,2019-12-14-0522,1,39.8256,Intra 1,4.05
380,-90.4602,12.9409,2019-12-14-0727,1,16.1602,Intra 1,4.53
381,-90.4144,13.274,2019-12-15-0242,1,15.0243,Intra 1,3.14
382,-89.7812,12.2176,2019-12-16-0947,1,21.054,Intra 1,3.6
383,-89.6579,13.1094,2019-12-20-0054,1,34.9529,Intra 1,3.21
384,-89.5959,13.1814,2019-12-20-0321,1,20.4146,Intra 1,2.94
385,-89.095,12.9571,2019-12-21-1747,1,35.1237,Intra 1,4.75
386,-89.9156,13.2182,2019-12-25-1454,1,16.6515,Intra 1,3.84
387,-89.977,13.2481,2019-12-31-1925,1,12.1589,Superficial,3.83
388,-91.5806,14.0589,2019-02-11-2216,2,28.9902,Intra 1,3.7
389,-91.4204,13.9507,2019-02-16-1518,2,53.8779,Intra 1,3.94
390,-90.4881,13.7973,2019-02-18-0709,2,105.8435,Intra 2,2.87
391,-89.6476,13.4609,2019-02-21-0851,2,51.1291,Intra 1,4.27
392,-92.1513,14.3829,2019-02-22-1556,2,53.7515,Intra 1,4.64
393,-92.1688,14.4079,2019-02-23-0213,2,54.0725,Intra 1,3.83
394,-92.369,14.4948,2019-03-02-1808,2,32.3254,Intra 1,4.2
395,-91.5532,14.1342,2019-03-07-2349,2,72.6986,Intra 2,4.14
396,-92.2957,14.5865,2019-03-13-0044,2,71.8907,Intra 2,3.62
397,-91.5995,14.2069,2019-03-20-0453,2,100.9393,Intra 2,3.12
398,-92.0936,14.2556,2019-03-23-1758,2,70.2429,Intra 2,4.4
399,-90.7651,13.6727,2019-03-23-1941,2,49.2754,Intra 1,4.15
400,-91.327,14.1082,2019-03-25-0539,2,78.9772,Intra 2,3.86
401,-90.7799,13.707,2019-03-26-0916,2,56.6333,Intra 1,4.5
402,-91.8184,14.1342,2019-03-27-1647,2,64.9146,Intra 1,4.32
403,-90.6901,13.6008,2019-03-29-1157,2,59.9949,Intra 1,3.79
404,-91.5797,14.1556,2019-03-31-1216,2,74.2039,Intra 2,3.9
405,-91.6109,14.1659,2019-03-31-1351,2,81.2076,Intra 2,4.07
406,-91.7346,14.297,2019-03-31-1458,2,75.8074,Intra 2,4.53
407,-91.2651,14.0778,2019-04-02-0038,2,85.0786,Intra 2,3.59
408,-91.0882,13.8421,2019-04-03-0944,2,67.3686,Intra 2,4.63
409,-91.5712,14.1842,2019-04-08-0227,2,68.1537,Intra 2,3.53
410,-90.4245,13.5374,2019-04-13-1922,2,77.9897,Intra 2,3.53
411,-89.9628,13.6277,2019-04-14-0330,2,86.7896,Intra 2,4.27
412,-90.1341,13.4661,2019-04-14-1744,2,63.7778,Intra 1,3.54
413,-91.3192,14.0126,2019-04-21-1512,2,76.5179,Intra 2,3.83
414,-89.7117,13.2675,2019-05-02-0038,2,18.9547,Intra 1,4.08
415,-90.4221,13.4955,2019-05-02-0424,2,51.1361,Intra 1,3.6
416,-90.0316,13.5673,2019-05-04-1612,2,89.8276,Intra 2,4.19
417,-91.5641,14.1016,2019-05-05-1926,2,80.3394,Intra 2,4.17
418,-89.5947,13.206,2019-05-06-0357,2,36.2072,Intra 1,4.12
419,-91.672,14.1887,2019-05-07-0256,2,84.8575,Intra 2,3.97
420,-90.9971,13.9306,2019-05-11-0450,2,29.5425,Intra 1,3.53
421,-91.6353,14.0753,2019-05-15-0648,2,62.9612,Intra 1,4.04
422,-90.5826,13.5951,2019-05-18-1234,2,73.2354,Intra 2,3.7
423,-89.3281,13.2379,2019-05-19-0937,2,39.4793,Intra 1,3.91
424,-91.3871,14.0871,2019-05-22-0412,2,71.813,Intra 2,5.09
425,-89.3852,13.4193,2019-05-25-2159,2,72.0915,Intra 2,4.3
426,-90.992,13.8077,2019-05-26-2234,2,55.9459,Intra 1,3.13
427,-91.7685,14.2109,2019-05-28-0648,2,78.8589,Intra 2,3.28
428,-91.2139,13.9772,2019-05-28-2102,2,64.9006,Intra 1,3.53
429,-89.7493,13.3678,2019-05-30-2117,2,22.8108,Intra 1,4.09
430,-92.1614,14.4151,2019-05-31-0131,2,72.0653,Intra 2,3.38
431,-89.4071,13.1583,2019-05-31-0513,2,54.7412,Intra 1,3.43
432,-89.637,13.3075,2019-05-31-0605,2,118.7872,Intra 2,3.75
433,-89.4403,13.2867,2019-05-31-1248,2,108.672,Intra 2,3.61
434,-89.5053,13.1756,2019-06-01-0327,2,69.5773,Intra 2,2.98
435,-89.2693,13.3152,2019-06-02-2001,2,24.4185,Intra 1,4.77
436,-89.3963,13.2615,2019-06-04-1127,2,47.6825,Intra 1,3.96
437,-89.4447,13.3018,2019-06-06-2130,2,49.8622,Intra 1,3.67
438,-91.7686,14.2614,2019-06-09-2046,2,60.9942,Intra 1,3.57
439,-91.4317,14.1267,2019-06-12-0616,2,81.927,Intra 2,2.92
440,-90.1751,13.7162,2019-06-12-2112,2,91.2692,Intra 2,3.74
441,-92.3813,14.519,2019-06-13-0841,2,39.9324,Intra 1,3.38
442,-89.5216,13.311,2019-06-14-1716,2,59.4213,Intra 1,4.32
443,-91.7891,14.2296,2019-06-16-1908,2,56.1071,Intra 1,3.58
444,-91.4119,14.0722,2019-06-18-0712,2,51.0589,Intra 1,3.07
445,-92.0664,14.3763,2019-06-19-2209,2,71.2664,Intra 2,3.9
446,-91.462,14.0707,2019-06-20-0447,2,87.2195,Intra 2,3.58
447,-91.573,14.0204,2019-06-20-1342,2,28.6493,Intra 1,3.74
448,-90.6195,13.6954,2019-06-21-0855,2,71.0116,Intra 2,3.9
449,-88.9555,13.2819,2019-06-28-0830,2,39.9601,Intra 1,4.08
450,-91.8542,14.3122,2019-06-28-1059,2,81.8261,Intra 2,4.08
451,-88.7617,13.0573,2019-06-30-0943,2,61.2887,Intra 1,4.24
452,-92.3729,14.8514,2019-06-30-2301,2,87.2126,Intra 2,3.76
453,-91.5913,14.0915,2019-07-02-1347,2,37.9586,Intra 1,4.09
454,-91.5628,14.1549,2019-07-07-1356,2,67.9993,Intra 2,3.75
455,-91.9166,14.2754,2019-07-08-0811,2,67.4506,Intra 2,4.1
456,-91.2569,13.9572,2019-07-10-0007,2,71.9106,Intra 2,4.76
457,-91.2461,13.9676,2019-07-10-0009,2,70.3753,Intra 2,4.13
458,-91.2495,14.005,2019-07-10-0013,2,70.7303,Intra 2,3.98
459,-91.2588,14.0152,2019-07-10-0039,2,75.2062,Intra 2,3.78
460,-91.2545,14.0191,2019-07-10-0056,2,72.1932,Intra 2,4.04
461,-89.608,13.2296,2019-07-10-0303,2,7.7043,Superficial,4.76
462,-91.2496,13.9393,2019-07-10-0527,2,53.1917,Intra 1,3.17
463,-91.2622,14.0091,2019-07-11-0737,2,72.0724,Intra 2,3.36
464,-91.2501,13.9956,2019-07-11-1028,2,71.1323,Intra 2,3.74
465,-92.2017,14.569,2019-07-11-1127,2,74.5431,Intra 2,4.47
466,-91.233,14.0463,2019-07-11-1353,2,64.0853,Intra 1,3.22
467,-91.2508,14.0188,2019-07-13-0458,2,70.4963,Intra 2,3.52
468,-91.2342,13.893,2019-07-14-2345,2,31.6563,Intra 1,3.38
469,-92.0255,14.5755,2019-07-16-0335,2,93.899,Intra 2,3.33
470,-89.351,13.1284,2019-07-17-0235,2,59.4638,Intra 1,3.37
471,-89.9733,13.3528,2019-07-17-1815,2,28.5948,Intra 1,4.07
472,-90.1207,13.3707,2019-07-20-1027,2,44.5678,Intra 1,2.97
473,-90.8181,13.6645,2019-07-21-0149,2,51.8004,Intra 1,4.31
474,-90.7657,13.9474,2019-07-21-0706,2,104.1016,Intra 2,3.02
475,-91.8366,14.206,2019-07-22-0827,2,72.0951,Intra 2,3.16
476,-92.0301,14.424,2019-07-23-1937,2,77.5878,Intra 2,3.02
477,-91.432,14.1363,2019-07-23-2304,2,71.3194,Intra 2,3.69
478,-91.5434,14.212,2019-07-24-2037,2,68.3837,Intra 2,3.19
479,-89.5341,13.3947,2019-07-25-0537,2,76.9133,Intra 2,3.56
480,-88.5553,12.9226,2019-07-26-0842,2,40.3227,Intra 1,4.03
481,-89.9816,13.3734,2019-07-27-2340,2,63.2545,Intra 1,3.5
482,-89.2515,13.228,2019-07-28-0107,2,29.7361,Intra 1,4.01
483,-91.3182,14.0067,2019-07-28-1055,2,103.5725,Intra 2,3.4
484,-90.0815,13.4646,2019-07-29-0259,2,41.6717,Intra 1,2.86
485,-89.4845,13.1821,2019-07-31-0750,2,45.1576,Intra 1,4.08
486,-90.7813,13.6844,2019-07-31-1010,2,68.6686,Intra 2,3.15
487,-91.873,14.608,2019-07-31-1616,2,101.095,Intra 2,3.85
488,-89.4138,13.1666,2019-07-31-1716,2,56.0123,Intra 1,4.34
489,-88.4828,12.8522,2019-08-10-0211,2,34.8439,Intra 1,4.03
490,-91.4407,14.13,2019-08-10-1143,2,73.5537,Intra 2,3.6
491,-90.9657,13.9005,2019-08-12-1019,2,95.3992,Intra 2,3.33
492,-89.6514,13.2458,2019-08-15-0840,2,15.9272,Intra 1,3.14
493,-92.2791,14.3425,2019-08-15-2104,2,66.6275,Intra 2,4.01
494,-92.0773,14.3836,2019-08-21-1015,2,71.9439,Intra 2,3.64
495,-90.9665,13.8717,2019-08-21-1808,2,82.6503,Intra 2,3.34
496,-91.4526,13.9809,2019-08-27-0404,2,73.725,Intra 2,3.74
497,-89.5456,13.2215,2019-08-27-2315,2,16.2615,Intra 1,3.78
498,-91.5496,14.1709,2019-08-30-0938,2,70.4398,Intra 2,3.63
499,-90.8732,13.7667,2019-08-30-2231,2,60.3816,Intra 1,3.11
500,-91.8702,14.2982,2019-08-31-1305,2,71.9778,Intra 2,3.67
501,-91.9327,14.349,2019-08-31-1649,2,69.3174,Intra 2,3.36
502,-88.5327,12.887,2019-09-03-1213,2,39.0,Intra 1,4.34
503,-88.863,13.2888,2019-09-05-0531,2,46.5417,Intra 1,3.97
504,-89.581,13.2131,2019-09-06-1900,2,40.1849,Intra 1,3.97
505,-91.7448,14.3183,2019-09-08-1425,2,80.5965,Intra 2,3.37
506,-89.3446,13.1551,2019-09-10-0344,2,36.6733,Intra 1,3.67
507,-90.1624,13.6037,2019-09-11-1530,2,80.8582,Intra 2,2.64
508,-91.0289,14.1677,2019-09-11-1842,2,106.7693,Intra 2,3.77
509,-89.5987,13.2297,2019-09-13-0220,2,34.0147,Intra 1,3.92
510,-91.063,13.8553,2019-09-13-1604,2,83.4986,Intra 2,4.07
511,-90.9106,13.9624,2019-09-14-0313,2,31.3774,Intra 1,3.17
512,-90.0242,13.4409,2019-09-15-0138,2,25.9693,Intra 1,4.11
513,-90.0907,13.4437,2019-09-17-1003,2,27.6016,Intra 1,3.61
514,-92.0919,14.4778,2019-09-17-1911,2,78.2841,Intra 2,4.94
515,-92.0873,14.4706,2019-09-17-1915,2,75.9841,Intra 2,3.85
516,-91.9917,14.2774,2019-09-19-0406,2,64.8143,Intra 1,3.96
517,-90.1289,13.427,2019-09-19-1520,2,54.8578,Intra 1,3.84
518,-91.8913,14.6695,2019-09-20-0345,2,106.7996,Intra 2,3.18
519,-91.4175,14.1632,2019-09-22-0820,2,73.0075,Intra 2,3.16
520,-90.5509,13.5321,2019-09-23-1215,2,27.6805,Intra 1,2.57
521,-91.5245,14.4546,2019-09-24-0228,2,119.4083,Intra 2,3.7
522,-91.4832,13.9906,2019-09-28-0849,2,76.6929,Intra 2,3.4
523,-89.8965,13.3193,2019-09-28-2047,2,39.4217,Intra 1,3.71
524,-91.2112,13.8447,2019-09-29-0408,2,27.3757,Intra 1,2.81
525,-90.0876,13.4339,2019-09-30-0245,2,27.3509,Intra 1,4.25
526,-91.0375,13.9436,2019-10-01-0622,2,85.1692,Intra 2,4.2
527,-90.3805,13.5066,2019-10-01-1123,2,28.6542,Intra 1,2.63
528,-91.6016,14.3772,2019-10-02-0210,2,84.065,Intra 2,3.09
529,-90.5608,13.6351,2019-10-02-0405,2,57.7698,Intra 1,2.81
530,-89.4382,13.1412,2019-10-04-0924,2,50.2565,Intra 1,3.87
531,-91.8425,14.1453,2019-10-05-0913,2,63.9264,Intra 1,3.24
532,-91.8679,14.2091,2019-10-06-0447,2,65.3777,Intra 2,4.33
533,-91.8789,14.2324,2019-10-06-0535,2,70.2924,Intra 2,3.38
534,-91.7569,14.1488,2019-10-06-0712,2,14.1826,Superficial,3.7
535,-92.1183,14.4143,2019-10-07-0438,2,74.2075,Intra 2,4.83
536,-91.841,14.1388,2019-10-07-0602,2,60.3251,Intra 1,3.18
537,-92.0586,14.3894,2019-10-07-0806,2,69.28,Intra 2,2.87
538,-91.597,14.2131,2019-10-09-0203,2,12.3114,Superficial,3.46
539,-90.3599,13.656,2019-10-09-1137,2,26.583,Intra 1,3.35
540,-91.4178,13.9628,2019-10-10-0812,2,74.8407,Intra 2,3.97
541,-91.3137,14.0477,2019-10-10-1527,2,76.5961,Intra 2,4.03
542,-92.2441,14.8612,2019-10-11-0816,2,84.6722,Intra 2,3.35
543,-91.9769,14.3926,2019-10-12-0856,2,49.0495,Intra 1,3.06
544,-92.0005,14.3997,2019-10-12-1247,2,73.0,Intra 2,3.63
545,-89.2851,13.2594,2019-10-13-1051,2,10.1801,Superficial,3.73
546,-91.4937,14.2091,2019-10-14-0334,2,11.1146,Superficial,3.55
547,-91.5809,14.065,2019-10-16-1128,2,28.8788,Intra 1,3.47
548,-89.8283,13.3885,2019-10-16-1846,2,24.5098,Intra 1,3.63
549,-89.2983,13.0933,2019-10-21-1111,2,35.0493,Intra 1,3.52
550,-89.0591,13.0362,2019-10-22-1446,2,39.0184,Intra 1,4.22
551,-91.3771,14.0302,2019-10-23-1000,2,29.4049,Intra 1,3.5
552,-90.089,13.3903,2019-10-24-1318,2,18.8134,Intra 1,3.89
553,-91.6708,14.2582,2019-10-24-2113,2,68.4086,Intra 2,3.44
554,-90.4965,13.6502,2019-10-24-2213,2,78.4927,Intra 2,3.06
555,-91.1419,13.8153,2019-10-28-1054,2,63.1704,Intra 1,3.32
556,-89.2417,13.1679,2019-10-29-0908,2,25.0843,Intra 1,4.07
557,-91.8651,14.2239,2019-10-30-0527,2,61.5779,Intra 1,3.39
558,-92.2379,14.4628,2019-10-30-1026,2,59.1132,Intra 1,3.46
559,-92.143,14.4142,2019-10-31-0323,2,80.3261,Intra 2,3.95
560,-90.304,13.6139,2019-10-31-1626,2,81.096,Intra 2,3.74
561,-91.5636,14.159,2019-11-02-0439,2,62.7133,Intra 1,4.06
562,-88.5797,13.1337,2019-11-02-1458,2,35.4376,Intra 1,4.25
563,-90.052,13.4943,2019-11-03-1551,2,63.0857,Intra 1,4.02
564,-91.2388,14.0809,2019-11-05-0526,2,83.9884,Intra 2,3.05
565,-89.9173,13.3209,2019-11-06-1408,2,27.876,Intra 1,3.62
566,-91.8815,14.2685,2019-11-07-1643,2,67.4305,Intra 2,4.46
567,-91.3216,14.0449,2019-11-07-1956,2,75.2867,Intra 2,3.88
568,-91.3129,13.9257,2019-11-08-0827,2,33.6792,Intra 1,3.0
569,-90.537,13.5436,2019-11-09-1630,2,48.5948,Intra 1,3.88
570,-91.2041,13.8408,2019-11-09-2256,2,66.8098,Intra 2,3.97
571,-91.0024,13.7465,2019-11-13-1645,2,73.0492,Intra 2,2.9
572,-91.0335,13.7658,2019-11-14-0140,2,68.4197,Intra 2,3.69
573,-90.08,13.3854,2019-11-14-0822,2,15.6563,Intra 1,3.25
574,-91.9516,14.4356,2019-11-15-0702,2,83.2252,Intra 2,3.34
575,-91.4209,14.0874,2019-11-16-0350,2,66.4792,Intra 2,3.22
576,-90.8979,13.7386,2019-11-17-0222,2,14.519,Superficial,2.69
577,-91.4582,14.0847,2019-11-18-0440,2,79.9349,Intra 2,4.21
578,-90.9505,13.7545,2019-11-18-2153,2,62.1268,Intra 1,3.66
579,-91.1581,13.8435,2019-11-19-0001,2,49.9419,Intra 1,3.81
580,-91.0676,13.8417,2019-11-21-0022,2,60.1261,Intra 1,3.87
581,-89.2318,13.1088,2019-11-21-0208,2,35.1545,Intra 1,4.47
582,-89.9921,13.5432,2019-11-21-0953,2,51.5283,Intra 1,2.6
583,-88.8322,13.0576,2019-11-22-0353,2,42.0614,Intra 1,4.33
584,-90.0125,13.358,2019-11-22-1840,2,27.373,Intra 1,3.34
585,-91.8951,14.1738,2019-11-23-0100,2,41.278,Intra 1,2.94
586,-92.25,14.5686,2019-11-23-1418,2,81.0458,Intra 2,3.74
587,-90.645,13.6198,2019-11-24-1512,2,34.8065,Intra 1,4.07
588,-89.0422,13.1133,2019-11-25-0541,2,26.2365,Intra 1,4.05
589,-89.7505,13.4685,2019-11-25-0615,2,79.0757,Intra 2,2.95
590,-91.1572,13.8979,2019-11-27-0340,2,64.0459,Intra 1,3.35
591,-92.247,14.6175,2019-11-30-0857,2,73.7022,Intra 2,3.59
592,-91.0055,13.8089,2019-12-01-0737,2,69.6659,Intra 2,3.04
593,-92.1013,14.3067,2019-12-01-0822,2,64.5839,Intra 1,3.87
594,-89.5831,13.2063,2019-12-02-1457,2,24.351,Intra 1,4.18
595,-90.4267,13.5506,2019-12-03-2355,2,55.3026,Intra 1,3.46
596,-89.366,13.2117,2019-12-04-0338,2,22.9016,Intra 1,3.65
597,-92.3292,14.4787,2019-12-07-0751,2,47.1712,Intra 1,3.66
598,-90.3376,13.7203,2019-12-07-1259,2,80.5731,Intra 2,3.3
599,-92.2867,14.5086,2019-12-08-0736,2,56.5051,Intra 1,3.4
600,-91.249,13.8631,2019-12-14-1450,2,62.7214,Intra 1,3.64
601,-91.9159,14.406,2019-12-20-0606,2,89.9539,Intra 2,3.3
602,-91.546,14.1992,2019-12-20-1118,2,71.0682,Intra 2,3.2
603,-91.0456,13.9834,2019-12-23-0617,2,89.6251,Intra 2,4.01
604,-92.1067,14.3065,2019-12-23-2309,2,64.1158,Intra 1,5.28
605,-89.5791,13.2143,2019-12-24-0019,2,35.5771,Intra 1,4.68
606,-92.1794,14.7216,2019-12-26-1538,2,99.1815,Intra 2,3.78
607,-89.757,13.2732,2019-12-29-0820,2,17.374,Intra 1,3.4
608,-89.9781,13.4231,2019-12-29-2017,2,24.9796,Intra 1,3.97
609,-90.7639,13.6417,2019-12-31-1952,2,65.8033,Intra 2,4.29
610,-91.3688,13.9751,2020-01-01-1718,2,64.1284,Intra 1,3.63
611,-89.9773,14.1402,2019-02-05-0826,3,12.4612,Superficial,2.78
612,-90.0792,13.8525,2019-06-22-0943,3,121.9973,Intra 2,2.75
613,-89.9531,14.0312,2019-07-07-1453,3,146.022,Intra 2,3.28
614,-90.0504,13.9891,2019-10-09-0548,3,17.5833,Intra 1,2.67
615,-89.8497,14.0663,2019-10-16-0837,3,11.1961,Superficial,2.7
616,-89.8428,14.0405,2019-10-16-0900,3,12.7154,Superficial,2.81
617,-89.854,14.0644,2019-10-16-0931,3,13.1926,Superficial,2.7
618,-89.8524,14.0642,2019-10-16-0938,3,10.0947,Superficial,2.72
619,-89.8531,14.059,2019-10-16-1016,3,15.8476,Intra 1,2.99
620,-90.078,14.0025,2019-10-27-0715,3,158.1147,Profundo,3.08
621,-89.9667,14.0445,2019-11-03-2202,3,143.8084,Intra 2,3.18
622,-89.1876,13.7612,2019-11-12-1357,3,3.0913,Superficial,4.16
623,-89.0139,13.7423,2019-11-13-0335,3,17.7171,Intra 1,4.29
624,-89.1695,13.7264,2019-11-15-0445,3,6.3194,Superficial,3.12
625,-89.2118,13.7626,2019-11-15-0811,3,5.7953,Superficial,3.32
626,-89.2708,13.8385,2019-11-16-1853,3,4.5366,Superficial,4.05
627,-89.2127,13.7319,2019-11-17-0419,3,15.6389,Intra 1,3.19
628,-89.1931,13.7012,2019-11-18-1121,3,7.6273,Superficial,3.68
629,-89.1114,13.6954,2019-11-22-2232,3,9.296,Superficial,3.94
630,-89.3642,13.6766,2019-11-29-1256,3,132.2402,Intra 2,4.03
631,-89.3835,13.8288,2019-12-10-2337,3,2.8689,Superficial,4.2
632,-89.4509,13.8213,2019-12-13-2351,3,13.454,Superficial,3.05
633,-90.0209,13.7961,2019-12-23-0250,3,104.9368,Intra 2,3.81
634,-89.7388,14.0875,2019-12-29-0848,3,2.9792,Superficial,2.7
635,-91.9623,15.1947,2019-08-21-0955,4,150.5135,Profundo,3.02
636,-91.0621,14.3842,2019-02-04-1850,5,57.1055,Intra 1,3.76
637,-91.0957,14.5549,2019-02-10-1006,5,19.5471,Intra 1,2.61
638,-90.6154,14.6896,2019-02-10-1734,5,3.7278,Superficial,2.15
639,-90.798,14.653,2019-02-20-1426,5,12.4627,Superficial,2.64
640,-90.7957,14.6651,2019-02-21-0650,5,11.0875,Superficial,2.37
641,-90.5398,14.4622,2019-02-22-0453,5,12.8564,Superficial,2.19
