no.,fyh_utc, fyh_loc, lat, lon, prof, residuales, estaciones, ml, in_ml, cmc, pais, folder
1,11/1/2020 2:22,10/31/2020 20:22,15.6564,-90.1301,5.4719,0.3433,9,3.59,0.29,A 20km ONO de Lanquin, Guatemala,2020-11-01-0221
2,11/5/2020 0:15,11/4/2020 18:15,15.5182,-90.171,1.8615,0.2424,8,3.35,0.47,A 10km ENE de San Pedro Carcha, Guatemala,2020-11-05-0015
3,11/6/2020 23:57,11/6/2020 17:57,15.5556,-90.2265,8.9091,0.2711,6,3.59,0.35,A 9km NNE de San Pedro Carcha, Guatemala,2020-11-06-2357
4,11/9/2020 3:47,11/8/2020 21:47,15.4744,-90.7139,3.1964,0.3295,6,2.51,0.32,A 10km NE de Chicaman, Guatemala,2020-11-09-0347
5,11/10/2020 1:09,11/9/2020 19:09,15.4917,-90.0243,5.0441,0.461,16,3.25,0.29,A 10km SO de Lanquin, Guatemala,2020-11-10-0109
6,11/10/2020 12:26,11/10/2020 6:26,15.5512,-90.2685,3.3207,0.4519,7,3.06,0.36,A 7km N de San Pedro Carcha, Guatemala,2020-11-10-1225
7,11/10/2020 20:09,11/10/2020 14:09,15.4899,-90.1963,1.3988,0.3081,8,2.9,0.48,A 7km E de San Pedro Carcha, Guatemala,2020-11-10-2009
8,11/11/2020 5:57,11/10/2020 23:57,15.9476,-91.505,6.066,0.5423,11,3.2,0.17,A 13km NNO de San Mateo Ixtatan, Guatemala,2020-11-11-0557
9,11/11/2020 6:56,11/11/2020 0:56,15.7955,-90.1929,1.3713,0.2491,7,2.9,0.08,A 9km ESE de Chisec, Guatemala,2020-11-11-0656
10,11/11/2020 7:47,11/11/2020 1:47,15.8223,-90.2254,0.5478,0.664,10,3.55,0.25,A 6km E de Chisec, Guatemala,2020-11-11-0747
11,11/11/2020 8:35,11/11/2020 2:35,15.4897,-90.2513,7.1781,0.3035,10,3.43,0.36,A 1km ENE de San Pedro Carcha, Guatemala,2020-11-11-0835
12,11/11/2020 11:55,11/11/2020 5:55,15.5106,-90.2208,0.1602,0.3682,14,3.65,0.4,A 5km ENE de San Pedro Carcha, Guatemala,2020-11-11-1154
13,11/12/2020 2:27,11/11/2020 20:27,15.7652,-90.1644,1.4962,0.3511,9,2.86,0.42,A 13km ESE de Chisec, Guatemala,2020-11-12-0226
14,11/12/2020 23:56,11/12/2020 17:56,15.5584,-90.2003,5.454,0.4141,15,3.77,0.24,A 10km NE de San Pedro Carcha, Guatemala,2020-11-12-2355
15,11/13/2020 1:26,11/12/2020 19:26,15.6901,-90.2368,24.2121,0.2455,5,2.75,0.11,A 14km SSE de Chisec, Guatemala,2020-11-13-0126
16,11/13/2020 5:55,11/12/2020 23:55,15.5667,-90.2366,15.6478,0.3382,4,2.43,0.29,A 9km NNE de San Pedro Carcha, Guatemala,2020-11-13-0554
17,11/14/2020 5:53,11/13/2020 23:53,15.3752,-90.7997,14.3508,0.2529,8,2.57,0.26,A 3km ESE de Uspantan, Guatemala,2020-11-14-0552
18,11/14/2020 10:57,11/14/2020 4:57,15.476,-90.2193,9.498,0.3008,8,3.21,0.29,A 5km E de San Pedro Carcha, Guatemala,2020-11-14-1057
19,11/15/2020 6:01,11/15/2020 0:01,15.7551,-91.0442,11.0158,0.2572,7,3.4,0.32,A 6km ESE de San Luis Ixcan, Guatemala,2020-11-15-0600
20,11/17/2020 23:48,11/17/2020 17:48,15.8562,-90.1113,2.2123,0.3295,9,3.99,0.39,A 8km O de Raxruha, Guatemala,2020-11-17-2348
21,11/18/2020 2:10,11/17/2020 20:10,15.4803,-90.2112,8.5342,0.2944,10,3.03,0.33,A 5km E de San Pedro Carcha, Guatemala,2020-11-18-0209
22,11/20/2020 6:35,11/20/2020 0:35,15.6254,-89.8086,13.2293,0.4994,12,3.31,0.38,A 6km N de Cahabon, Guatemala,2020-11-20-0635
23,11/20/2020 13:52,11/20/2020 7:52,15.4271,-89.8809,1.2025,0.4432,12,3.62,0.5,A 5km ONO de Senahu, Guatemala,2020-11-20-1352
24,11/22/2020 3:00,11/21/2020 21:00,15.5542,-91.0461,17.1873,0.4589,9,3.22,0.25,A 7km N de Chajul, Guatemala,2020-11-22-0300
25,11/22/2020 6:08,11/22/2020 0:08,15.3721,-91.1789,17.3596,0.1475,5,2.32,0.25,A 5km SO de Nebaj, Guatemala,2020-11-22-0608
26,11/22/2020 6:43,11/22/2020 0:43,15.4783,-90.7275,0.626,0.4014,8,2.7,0.28,A 9km NNE de Chicaman, Guatemala,2020-11-22-0643
27,11/22/2020 6:55,11/22/2020 0:55,15.7068,-91.4691,53.3076,0.3288,6,3.11,0.5,A 2km OSO de Soloma, Guatemala,2020-11-22-0655
28,11/22/2020 10:28,11/22/2020 4:28,15.4199,-90.3831,4.4669,0.0663,4,2.2,0.47,A 5km OSO de San Juan Chamelco, Guatemala,2020-11-22-1027
29,11/22/2020 13:24,11/22/2020 7:24,15.5579,-90.2183,1.6906,0.6775,11,2.93,0.3,A 9km NNE de San Pedro Carcha, Guatemala,2020-11-22-1324
30,11/22/2020 18:13,11/22/2020 12:13,15.584,-90.0756,14.2366,0.5222,7,2.96,0.47,A 11km O de Lanquin, Guatemala,2020-11-22-1812
31,11/22/2020 18:41,11/22/2020 12:41,15.4859,-90.2573,8.2055,0.4112,8,3.06,0.4,A 1km ENE de San Pedro Carcha, Guatemala,2020-11-22-1840
32,11/22/2020 19:58,11/22/2020 13:58,15.522,-90.1967,3.1741,0.3573,9,3.72,0.38,A 8km ENE de San Pedro Carcha, Guatemala,2020-11-22-1958
33,11/22/2020 20:49,11/22/2020 14:49,15.6357,-89.9984,2.7159,0.4586,17,3.61,0.24,A 8km NNO de Lanquin, Guatemala,2020-11-22-2048
34,11/22/2020 22:25,11/22/2020 16:25,15.548,-90.2229,0.7088,0.5478,15,3.36,0.23,A 8km NNE de San Pedro Carcha, Guatemala,2020-11-22-2225
35,11/23/2020 3:48,11/22/2020 21:48,15.8787,-91.5083,5.1324,0.5778,12,3.58,0.29,A 6km NNO de San Mateo Ixtatan, Guatemala,2020-11-23-0348
36,11/23/2020 7:02,11/23/2020 1:02,15.6822,-91.0068,10.3991,0.4776,5,2.6,0.15,A 15km SE de San Luis Ixcan, Guatemala,2020-11-23-0702
37,11/23/2020 8:54,11/23/2020 2:54,15.925,-90.1812,5.9535,0.2078,5,3.21,0.34,A 16km NE de Chisec, Guatemala,2020-11-23-0854
38,11/23/2020 8:58,11/23/2020 2:58,15.9007,-91.4213,8.1841,0.552,6,3.13,0.45,A 9km NE de San Mateo Ixtatan, Guatemala,2020-11-23-0858
39,11/23/2020 10:42,11/23/2020 4:42,15.7769,-91.0441,6.7085,0.4661,7,3.61,0.33,A 5km ESE de San Luis Ixcan, Guatemala,2020-11-23-1042
40,11/23/2020 11:11,11/23/2020 5:11,15.4544,-90.7096,9.489,0.4105,5,2.9,0.14,A 8km NE de Chicaman, Guatemala,2020-11-23-1111
41,11/23/2020 11:59,11/23/2020 5:59,15.4578,-90.783,7.6915,0.2871,9,2.85,0.22,A 6km NNO de Chicaman, Guatemala,2020-11-23-1159
42,11/23/2020 13:42,11/23/2020 7:42,15.4719,-90.2645,6.2182,0.5235,8,2.95,0.24,A 1km S de San Pedro Carcha, Guatemala,2020-11-23-1342
43,11/23/2020 18:58,11/23/2020 12:58,15.4407,-90.6948,6.7028,0.4183,16,3.57,0.3,A 8km ENE de Chicaman, Guatemala,2020-11-23-1857
44,11/23/2020 21:51,11/23/2020 15:51,15.4708,-90.7156,0.6557,0.368,9,3.6,0.43,A 9km NE de Chicaman, Guatemala,2020-11-23-2151
45,11/23/2020 22:36,11/23/2020 16:36,15.4657,-90.7129,10.86,0.4147,8,3.3,0.44,A 9km NE de Chicaman, Guatemala,2020-11-23-2236
46,11/23/2020 23:13,11/23/2020 17:13,15.6206,-89.9849,1.0638,0.3533,11,4.14,0.28,A 6km NNO de Lanquin, Guatemala,2020-11-23-2312
47,11/23/2020 23:27,11/23/2020 17:27,15.5172,-90.2299,0.0598,0.329,12,3.87,0.31,A 5km NE de San Pedro Carcha, Guatemala,2020-11-23-2326
48,11/24/2020 0:48,11/23/2020 18:48,15.6858,-91.4883,47.5042,0.4324,7,3.04,0.37,A 5km SO de Soloma, Guatemala,2020-11-24-0048
49,11/24/2020 1:59,11/23/2020 19:59,15.5034,-90.1793,0.8572,0.4287,9,3.66,0.32,A 9km ENE de San Pedro Carcha, Guatemala,2020-11-24-0159
50,11/24/2020 2:41,11/23/2020 20:41,15.5364,-90.1131,8.4049,0.5395,8,3.43,0.32,A 16km OSO de Lanquin, Guatemala,2020-11-24-0240
51,11/24/2020 4:10,11/23/2020 22:10,15.6243,-89.9882,3.3265,0.3739,12,3.69,0.27,A 6km NNO de Lanquin, Guatemala,2020-11-24-0409
52,11/24/2020 4:26,11/23/2020 22:26,16.1075,-91.3912,15.4807,0.2419,4,3.6,0.33,A 8km OSO de Santo Domingo de las Palmas,México,2020-11-24-0426
53,11/24/2020 4:57,11/23/2020 22:57,15.4667,-90.7102,7.2638,0.4686,9,3.29,0.13,A 9km NE de Chicaman, Guatemala,2020-11-24-0457
54,11/24/2020 5:00,11/23/2020 23:00,15.5341,-90.7165,6.0045,0.4266,5,2.96,0.47,A 15km NNE de Chicaman, Guatemala,2020-11-24-0459
55,11/24/2020 7:25,11/24/2020 1:25,15.6595,-90.9563,13.3719,0.0037,4,2.77,0.29,A 20km SE de San Luis Ixcan, Guatemala,2020-11-24-0725
56,11/24/2020 10:03,11/24/2020 4:03,15.4706,-90.6632,8.0349,0.348,5,3.11,0.39,A 13km NO de San Cristobal Verapaz, Guatemala,2020-11-24-1003
57,11/24/2020 13:54,11/24/2020 7:54,15.5096,-90.1971,3.4942,0.6113,11,3.45,0.39,A 8km ENE de San Pedro Carcha, Guatemala,2020-11-24-1354
58,11/24/2020 13:58,11/24/2020 7:58,15.4906,-90.7025,7.13,0.4909,8,3.55,0.25,A 12km NE de Chicaman, Guatemala,2020-11-24-1358
59,11/24/2020 17:04,11/24/2020 11:04,15.7108,-89.7909,2.219,0.2885,8,3.74,0.24,A 15km SE de Fray Bartolome de Las Casas, Guatemala,2020-11-24-1704
60,11/24/2020 17:21,11/24/2020 11:21,15.4617,-90.7188,17.1542,0.2842,9,2.96,0.32,A 8km NE de Chicaman, Guatemala,2020-11-24-1720
61,11/25/2020 2:44,11/24/2020 20:44,15.4552,-90.7572,1.8344,0.2702,11,2.89,0.1,A 6km N de Chicaman, Guatemala,2020-11-25-0244
62,11/25/2020 3:14,11/24/2020 21:14,15.5946,-90.1552,11.6271,0.3011,7,3.22,0.48,A 17km NE de San Pedro Carcha, Guatemala,2020-11-25-0314
63,11/25/2020 6:08,11/25/2020 0:08,15.3523,-90.5904,16.135,0.3085,10,2.66,0.3,A 5km SSO de San Cristobal Verapaz, Guatemala,2020-11-25-0608
64,11/25/2020 6:51,11/25/2020 0:51,15.9536,-91.2143,4.8512,0.3908,9,3.05,0.44,A 19km NNE de Barillas, Guatemala,2020-11-25-0651
65,11/25/2020 6:54,11/25/2020 0:54,15.4598,-90.6922,1.7089,0.3186,15,3.23,0.29,A 10km NE de Chicaman, Guatemala,2020-11-25-0654
66,11/25/2020 7:58,11/25/2020 1:58,16.0087,-91.0296,1.0743,0.387,16,3.66,0.29,A 25km NNE de San Luis Ixcan, Guatemala,2020-11-25-0758
67,11/25/2020 8:55,11/25/2020 2:55,15.6538,-90.088,2.8685,0.2845,8,2.92,0.29,A 16km NO de Lanquin, Guatemala,2020-11-25-0854
68,11/26/2020 0:39,11/25/2020 18:39,15.5535,-90.2035,4.0353,0.0847,4,2.55,0.12,A 10km NE de San Pedro Carcha, Guatemala,2020-11-26-0039
69,11/26/2020 3:12,11/25/2020 21:12,15.5112,-90.1555,6.2461,0.5948,13,3.18,0.38,A 12km ENE de San Pedro Carcha, Guatemala,2020-11-26-0312
70,11/26/2020 7:39,11/26/2020 1:39,15.4926,-90.7479,6.215,0.3101,9,3.2,0.49,A 10km N de Chicaman, Guatemala,2020-11-26-0739
71,11/26/2020 7:59,11/26/2020 1:59,15.4668,-90.7266,22.1237,0.274,7,3.54,0.16,A 8km NNE de Chicaman, Guatemala,2020-11-26-0759
72,11/26/2020 8:55,11/26/2020 2:55,15.5024,-90.6937,0.2164,0.3011,5,2.57,0.12,A 13km NE de Chicaman, Guatemala,2020-11-26-0854
73,11/26/2020 12:02,11/26/2020 6:02,15.498,-90.2243,9.4099,0.3324,6,2.56,0.39,A 4km ENE de San Pedro Carcha, Guatemala,2020-11-26-1201
74,11/26/2020 13:54,11/26/2020 7:54,15.6948,-91.046,10.93,0.2961,7,3.83,0.24,A 11km SSE de San Luis Ixcan, Guatemala,2020-11-26-1354
75,11/27/2020 4:57,11/26/2020 22:57,15.7169,-89.9148,0.3842,0.279,4,2.96,0.34,A 11km SSO de Fray Bartolome de Las Casas, Guatemala,2020-11-27-0457
76,11/27/2020 6:29,11/27/2020 0:29,15.7936,-89.9226,3.7549,0.0893,4,2.87,0.48,A 4km SO de Fray Bartolome de Las Casas, Guatemala,2020-11-27-0629
77,11/27/2020 7:08,11/27/2020 1:08,15.6648,-90.1116,1.0305,0.3956,16,3.69,0.15,A 18km NO de Lanquin, Guatemala,2020-11-27-0708
78,11/27/2020 20:42,11/27/2020 14:42,15.6392,-90.518,13.6919,0.4359,4,2.88,0.31,A 24km NO de Coban, Guatemala,2020-11-27-2041
79,11/28/2020 4:13,11/27/2020 22:13,15.4329,-90.7106,17.3464,0.4446,6,3.15,0.24,A 7km ENE de Chicaman, Guatemala,2020-11-28-0413
80,11/28/2020 8:32,11/28/2020 2:32,15.6524,-90.9778,0.8143,0.3859,7,2.64,0.17,A 19km NNE de Chajul, Guatemala,2020-11-28-0832
81,11/29/2020 3:43,11/28/2020 21:43,15.6604,-90.1217,8.7081,0.3064,6,3.56,0.31,A 19km ONO de Lanquin, Guatemala,2020-11-29-0342
82,11/29/2020 11:24,11/29/2020 5:24,15.8763,-91.5473,13.4096,0.4136,4,3.34,0.31,A 8km ONO de San Mateo Ixtatan, Guatemala,2020-11-29-1124
83,11/30/2020 5:24,11/29/2020 23:24,15.8608,-91.4931,6.0128,0.5165,7,3.03,0.21,A 3km NNO de San Mateo Ixtatan, Guatemala,2020-11-30-0524
84,11/30/2020 7:26,11/30/2020 1:26,15.5224,-90.009,16.5668,0.4933,6,3.26,0.47,A 6km SO de Lanquin, Guatemala,2020-11-30-0726
85,12/1/2020 8:55,12/1/2020 2:55,15.6471,-90.0754,2.7742,0.3754,5,2.79,0.47,A 14km NO de Lanquin, Guatemala,2020-12-01-0855
86,12/2/2020 3:25,12/1/2020 21:25,15.5054,-91.1387,23.8646,0.3459,6,3.68,0.24,A 11km N de Nebaj, Guatemala,2020-12-02-0325
87,12/2/2020 3:54,12/1/2020 21:54,15.4396,-90.6718,5.4817,0.2993,8,3.69,0.23,A 11km ENE de Chicaman, Guatemala,2020-12-02-0354
88,12/3/2020 4:48,12/2/2020 22:48,15.428,-90.6155,7.6388,0.521,8,3.57,0.47,A 6km ONO de San Cristobal Verapaz, Guatemala,2020-12-03-0448
89,12/3/2020 11:46,12/3/2020 5:46,15.4781,-90.7091,1.5082,0.3461,8,3.48,0.32,A 10km NE de Chicaman, Guatemala,2020-12-03-1146
90,12/4/2020 7:30,12/4/2020 1:30,15.3342,-91.1874,23.7311,0.1168,4,2.43,0.49,A 9km SSO de Nebaj, Guatemala,2020-12-04-0729
91,12/4/2020 14:30,12/4/2020 8:30,15.4249,-90.7911,5.9853,0.4683,9,3.57,0.44,A 3km NO de Chicaman, Guatemala,2020-12-04-1430
92,12/5/2020 1:10,12/4/2020 19:10,16.1053,-90.6319,9.4815,0.355,10,4.19,0.32,A 19km O de Flor de Cacao,México,2020-12-05-0111
93,12/5/2020 19:30,12/5/2020 13:30,15.6109,-89.9651,16.9703,0.5224,40,4.1,0.21,A 4km N de Lanquin, Guatemala,2020-12-05-1930
94,12/7/2020 1:07,12/6/2020 19:07,15.5617,-90.1188,5.0226,0.1396,6,2.83,0.23,A 16km O de Lanquin, Guatemala,2020-12-07-0107
95,12/9/2020 5:23,12/8/2020 23:23,15.5726,-90.0943,11.2526,0.373,8,3.29,0.47,A 13km O de Lanquin, Guatemala,2020-12-09-0523
96,12/9/2020 6:08,12/9/2020 0:08,15.6423,-90.0262,1.7542,0.3575,13,3.53,0.27,A 10km NO de Lanquin, Guatemala,2020-12-09-0608
97,12/9/2020 11:28,12/9/2020 5:28,15.6519,-90.0636,1.3423,0.4232,11,3.37,0.2,A 14km NO de Lanquin, Guatemala,2020-12-09-1127
98,12/10/2020 7:17,12/10/2020 1:17,15.5943,-89.9473,4.7484,0.529,9,3.56,0.19,A 3km NE de Lanquin, Guatemala,2020-12-10-0717
