No.,fyh_utc,fyh_loc,lat,lon,prof,residuales,estaciones,ml,in_ml,cmc,pais,folder
2,4/19/2020 6:02,4/19/2020 0:02,14.3823,-90.4882,5.8177,"1,726",8,1.3,0.23,A 10km SSO de Fraijanes,Guatemala,2020-04-19-0602
4,4/19/2020 8:18,4/19/2020 2:18,14.3871,-90.4826,152.4540,"2,199",11,4.52,0.24,A 9km SSO de Fraijanes,Guatemala,2020-04-19-0818
5,4/19/2020 8:22,4/19/2020 2:22,14.3745,-90.4949,6.0218,"1,325",9,2.19,0.18,A 11km SSO de Fraijanes,Guatemala,2020-04-19-0821
6,4/19/2020 8:24,4/19/2020 2:24,14.373,-90.4644,4.6197,"2,331",12,2.19,0.22,A 10km SSO de Fraijanes,Guatemala,2020-04-19-0823
7,4/19/2020 8:43,4/19/2020 2:43,14.3817,-90.5168,8.6493,"1,067",8,1.5,0.26,A 11km S de Villa Canales,Guatemala,2020-04-19-0842
8,4/19/2020 8:57,4/19/2020 2:57,14.3883,-90.4792,10.5869,802,4,1.63,0.33,A 9km SSO de Fraijanes,Guatemala,2020-04-19-0856
9,4/19/2020 9:07,4/19/2020 3:07,14.3782,-90.4964,2.9938,"1,576",7,1.48,0.17,A 11km SSO de Fraijanes,Guatemala,2020-04-19-0906
10,4/19/2020 9:19,4/19/2020 3:19,14.3747,-90.4889,12.2814,"2,141",11,2.11,0.17,A 11km SSO de Fraijanes,Guatemala,2020-04-19-0919
11,4/19/2020 9:24,4/19/2020 3:24,14.3698,-90.473,9.9565,591,5,1.57,0.21,A 11km SSO de Fraijanes,Guatemala,2020-04-19-0923
12,4/19/2020 9:25,4/19/2020 3:25,14.3963,-90.5047,12.8256,"2,973",6,1.31,0.16,A 9km SSE de Villa Canales,Guatemala,2020-04-19-0925
14,4/19/2020 9:33,4/19/2020 3:33,14.3943,-90.4884,10.0623,"1,512",6,1.35,0.29,A 9km SSO de Fraijanes,Guatemala,2020-04-19-0933
15,4/19/2020 9:49,4/19/2020 3:49,14.3885,-90.4871,157.9120,673,5,1.39,0.39,A 9km SSO de Fraijanes,Guatemala,2020-04-19-0949
16,4/19/2020 10:09,4/19/2020 4:09,14.3812,-90.485,9.5670,"2,382",8,2.11,0.2,A 10km SSO de Fraijanes,Guatemala,2020-04-19-1008
18,4/19/2020 10:57,4/19/2020 4:57,14.3871,-90.4897,9.4779,"1,480",4,1.8,0.27,A 10km SSO de Fraijanes,Guatemala,2020-04-19-1057
19,4/19/2020 11:03,4/19/2020 5:03,14.3732,-90.4846,11.2359,"2,254",10,2.04,0.13,A 11km SSO de Fraijanes,Guatemala,2020-04-19-1103
20,4/19/2020 11:10,4/19/2020 5:10,14.378,-90.4798,10.1405,"2,254",10,2.89,0.21,A 10km SSO de Fraijanes,Guatemala,2020-04-19-1110
21,4/19/2020 11:31,4/19/2020 5:31,14.383,-90.4808,148.8190,"3,562",13,4.04,0.13,A 10km SSO de Fraijanes,Guatemala,2020-04-19-1131
22,4/19/2020 11:34,4/19/2020 5:34,14.3849,-90.477,9.0686,"2,435",11,2.55,0.24,A 9km SSO de Fraijanes,Guatemala,2020-04-19-1133
23,4/19/2020 11:37,4/19/2020 5:37,14.3793,-90.476,165.1040,"1,324",5,1.6,0.2,A 10km SSO de Fraijanes,Guatemala,2020-04-19-1137
25,4/19/2020 11:47,4/19/2020 5:47,14.3858,-90.4743,138.9540,"2,265",10,2.16,0.24,A 9km SSO de Fraijanes,Guatemala,2020-04-19-1147
26,4/19/2020 11:50,4/19/2020 5:50,14.3871,-90.5053,6.8553,822,6,1.6,0.37,A 10km SSE de Villa Canales,Guatemala,2020-04-19-1150
27,4/19/2020 12:48,4/19/2020 6:48,14.3562,-90.4936,10.3291,"1,867",8,2.23,0.26,A 13km SSO de Fraijanes,Guatemala,2020-04-19-1248
30,4/19/2020 18:17,4/19/2020 12:17,14.3711,-90.4746,7.6514,"1,882",7,2.51,0.41,A 11km SSO de Fraijanes,Guatemala,2020-04-19-1817
31,4/19/2020 18:54,4/19/2020 12:54,14.3778,-90.4792,9.2053,876,6,2,0.31,A 10km SSO de Fraijanes,Guatemala,2020-04-19-1854
32,4/19/2020 21:30,4/19/2020 15:30,14.3799,-90.4993,8.3958,"1,702",7,1.76,0.18,A 11km SSO de Fraijanes,Guatemala,2020-04-19-2130
33,4/19/2020 22:47,4/19/2020 16:47,14.3861,-90.4535,8.2618,"2,356",6,2.4,0.21,A 8km S de Fraijanes,Guatemala,2020-04-19-2246
34,4/20/2020 6:38,4/20/2020 0:38,14.4287,-90.4463,243.3450,"2,076",5,1.43,0.19,A 4km S de Fraijanes,Guatemala,2020-04-20-0637
36,4/20/2020 13:54,4/20/2020 7:54,14.3643,-90.5222,9.0672,796,5,2.22,0.32,A 13km S de Villa Canales,Guatemala,2020-04-20-1354
42,4/21/2020 7:15,4/21/2020 1:15,14.3841,-90.4961,140.4300,"1,380",9,1.64,0.2,A 10km SSO de Fraijanes,Guatemala,2020-04-21-0711
43,4/21/2020 7:18,4/21/2020 1:18,14.4295,-90.4273,174.5920,"1,556",6,1.44,0.23,A 4km SSE de Fraijanes,Guatemala,2020-04-21-0715
44,4/21/2020 7:26,4/21/2020 1:26,14.3858,-90.4939,10.7371,"1,855",8,1.57,0.17,A 10km SSO de Fraijanes,Guatemala,2020-04-21-0718
47,4/21/2020 8:31,4/21/2020 2:31,14.3719,-90.4839,10.1221,"1,163",8,2.14,0.38,A 11km SSO de Fraijanes,Guatemala,2020-04-21-0807
48,4/21/2020 8:32,4/21/2020 2:32,14.389,-90.4944,10.2046,"1,882",6,1.52,0.36,A 10km SO de Fraijanes,Guatemala,2020-04-21-0831
49,4/21/2020 10:25,4/21/2020 4:25,14.3856,-90.4865,132.4670,"2,061",8,2.18,0.25,A 10km SSO de Fraijanes,Guatemala,2020-04-21-0832
50,4/21/2020 12:31,4/21/2020 6:31,14.3845,-90.4785,12.6953,"1,867",7,1.96,0.14,A 9km SSO de Fraijanes,Guatemala,2020-04-21-1025
52,4/22/2020 11:14,4/22/2020 5:14,14.3803,-90.4915,11.0483,826,4,1.55,0.07,A 10km SSO de Fraijanes,Guatemala,2020-04-22-0708
